Archivo,Número de puntos,Dimensiones,Tamaño de solución,LRC,Valor Objetivo,Iteraciones,Puntos de solución,Tiempo de Ejecución
"max_div_15_3.txt",10,15,3,3,4,31.868526,10,11 6 4 ,0.000182
"max_div_15_3.txt",20,15,3,3,4,31.868526,20,6 11 4 ,0.000317
"max_div_15_3.txt",30,15,3,3,4,31.868526,30,6 11 4 ,0.000472
"max_div_15_3.txt",40,15,3,3,4,31.868526,40,4 11 6 ,0.000622
"max_div_15_3.txt",50,15,3,3,4,31.868526,50,4 11 6 ,0.000757
"max_div_15_3.txt",10,15,3,3,5,31.868526,10,4 11 6 ,0.000176
"max_div_15_3.txt",20,15,3,3,5,31.868526,20,11 4 6 ,0.000328
"max_div_15_3.txt",30,15,3,3,5,31.868526,30,4 6 11 ,0.000468
"max_div_15_3.txt",40,15,3,3,5,31.868526,40,6 4 11 ,0.000628
"max_div_15_3.txt",50,15,3,3,5,31.868526,50,11 6 4 ,0.000770
"max_div_15_3.txt",10,15,3,4,2,59.763759,10,11 8 4 10 ,0.000252
"max_div_15_3.txt",20,15,3,4,2,59.763759,20,4 10 11 8 ,0.000439
"max_div_15_3.txt",30,15,3,4,2,59.763759,30,4 11 10 8 ,0.000666
"max_div_15_3.txt",40,15,3,4,2,59.763759,40,4 10 11 8 ,0.000835
"max_div_15_3.txt",50,15,3,4,2,59.763759,50,4 10 11 8 ,0.001045
"max_div_15_3.txt",10,15,3,4,3,59.763759,10,11 4 8 10 ,0.000242
"max_div_15_3.txt",20,15,3,4,3,59.763759,20,11 4 8 10 ,0.000440
"max_div_15_3.txt",30,15,3,4,3,59.763759,30,4 10 11 8 ,0.000648
"max_div_15_3.txt",40,15,3,4,3,59.763759,40,4 10 11 8 ,0.000869
"max_div_15_3.txt",50,15,3,4,3,59.763759,50,4 10 11 8 ,0.001036
"max_div_15_3.txt",10,15,3,4,4,59.763759,10,11 4 10 8 ,0.000233
"max_div_15_3.txt",20,15,3,4,4,59.763759,20,4 10 11 8 ,0.000453
"max_div_15_3.txt",30,15,3,4,4,59.763759,30,4 10 11 8 ,0.000645
"max_div_15_3.txt",40,15,3,4,4,59.763759,40,4 11 10 8 ,0.001031
"max_div_15_3.txt",50,15,3,4,4,59.763759,50,4 10 11 8 ,0.001794
"max_div_15_3.txt",10,15,3,4,5,59.763759,10,8 11 10 4 ,0.000248
"max_div_15_3.txt",20,15,3,4,5,59.763759,20,4 11 10 8 ,0.000452
"max_div_15_3.txt",30,15,3,4,5,59.763759,30,11 8 4 10 ,0.000650
"max_div_15_3.txt",40,15,3,4,5,59.763759,40,11 10 4 8 ,0.000844
"max_div_15_3.txt",50,15,3,4,5,59.763759,50,11 4 10 8 ,0.001059
"max_div_15_3.txt",10,15,3,5,2,96.085832,10,4 3 13 8 11 ,0.000309
"max_div_15_3.txt",20,15,3,5,2,96.085832,20,4 3 13 8 11 ,0.000576
"max_div_15_3.txt",30,15,3,5,2,96.085832,30,11 4 8 13 3 ,0.000853
"max_div_15_3.txt",40,15,3,5,2,96.085832,40,4 11 13 3 8 ,0.001109
"max_div_15_3.txt",50,15,3,5,2,96.085832,50,4 3 13 8 11 ,0.001386
"max_div_15_3.txt",10,15,3,5,3,96.085832,10,11 8 13 4 3 ,0.000449
"max_div_15_3.txt",20,15,3,5,3,96.085832,20,4 11 13 3 8 ,0.000971
"max_div_15_3.txt",30,15,3,5,3,96.085832,30,11 13 8 4 3 ,0.001350
"max_div_15_3.txt",40,15,3,5,3,96.085832,40,11 13 8 3 4 ,0.001407
"max_div_15_3.txt",50,15,3,5,3,96.085832,50,11 13 8 3 4 ,0.002143
"max_div_15_3.txt",10,15,3,5,4,96.085832,10,11 13 8 4 3 ,0.000323
"max_div_15_3.txt",20,15,3,5,4,96.085832,20,11 4 13 8 3 ,0.000582
"max_div_15_3.txt",30,15,3,5,4,96.085832,30,11 13 8 4 3 ,0.000857
"max_div_15_3.txt",40,15,3,5,4,96.085832,40,11 13 8 3 4 ,0.001108
"max_div_15_3.txt",50,15,3,5,4,96.085832,50,11 13 8 4 3 ,0.002023
"max_div_15_3.txt",10,15,3,5,5,96.085832,10,4 13 11 3 8 ,0.000468
"max_div_15_3.txt",20,15,3,5,5,96.085832,20,4 11 13 3 8 ,0.000975
"max_div_15_3.txt",30,15,3,5,5,96.085832,30,11 4 13 3 8 ,0.001472
"max_div_15_3.txt",40,15,3,5,5,96.085832,40,11 13 4 8 3 ,0.002003
"max_div_15_3.txt",50,15,3,5,5,96.085832,50,11 13 8 3 4 ,0.002839
"max_div_15_2.txt",10,15,2,2,2,11.859216,10,8 6 ,0.000136
"max_div_15_2.txt",20,15,2,2,2,11.859216,20,8 6 ,0.000220
"max_div_15_2.txt",30,15,2,2,2,11.859216,30,8 6 ,0.000313
"max_div_15_2.txt",40,15,2,2,2,11.859216,40,8 6 ,0.000393
"max_div_15_2.txt",50,15,2,2,2,11.859216,50,8 6 ,0.000496
"max_div_15_2.txt",10,15,2,2,3,11.859216,10,8 6 ,0.000129
"max_div_15_2.txt",20,15,2,2,3,11.859216,20,8 6 ,0.000216
"max_div_15_2.txt",30,15,2,2,3,11.859216,30,8 6 ,0.000309
"max_div_15_2.txt",40,15,2,2,3,11.859216,40,8 6 ,0.000400
"max_div_15_2.txt",50,15,2,2,3,11.859216,50,8 6 ,0.000484
"max_div_15_2.txt",10,15,2,2,4,11.859216,10,6 8 ,0.000124
"max_div_15_2.txt",20,15,2,2,4,11.859216,20,6 8 ,0.000227
"max_div_15_2.txt",30,15,2,2,4,11.859216,30,8 6 ,0.000302
"max_div_15_2.txt",40,15,2,2,4,11.859216,40,8 6 ,0.000395
"max_div_15_2.txt",50,15,2,2,4,11.859216,50,8 6 ,0.000492
"max_div_15_2.txt",10,15,2,2,5,11.859216,10,6 8 ,0.000124
"max_div_15_2.txt",20,15,2,2,5,11.859216,20,8 6 ,0.000216
"max_div_15_2.txt",30,15,2,2,5,11.859216,30,8 6 ,0.000305
"max_div_15_2.txt",40,15,2,2,5,11.859216,40,6 8 ,0.000406
"max_div_15_2.txt",50,15,2,2,5,11.859216,50,8 6 ,0.000491
"max_div_15_2.txt",10,15,2,3,2,27.372700,10,0 6 8 ,0.000175
"max_div_15_2.txt",20,15,2,3,2,27.372700,20,8 0 6 ,0.000313
"max_div_15_2.txt",30,15,2,3,2,27.372700,30,0 6 8 ,0.000460
"max_div_15_2.txt",40,15,2,3,2,27.372700,40,0 6 8 ,0.000593
"max_div_15_2.txt",50,15,2,3,2,27.372700,50,8 0 6 ,0.000734
"max_div_15_2.txt",10,15,2,3,3,27.372700,10,8 0 6 ,0.000178
"max_div_15_2.txt",20,15,2,3,3,27.372700,20,0 6 8 ,0.000308
"max_div_15_2.txt",30,15,2,3,3,27.372700,30,0 6 8 ,0.000461
"max_div_15_2.txt",40,15,2,3,3,27.372700,40,8 0 6 ,0.000597
"max_div_15_2.txt",50,15,2,3,3,27.372700,50,0 6 8 ,0.001142
"max_div_15_2.txt",10,15,2,3,4,27.372700,10,8 0 6 ,0.000229
"max_div_15_2.txt",20,15,2,3,4,27.372700,20,0 6 8 ,0.000451
"max_div_15_2.txt",30,15,2,3,4,27.372700,30,8 0 6 ,0.000701
"max_div_15_2.txt",40,15,2,3,4,27.372700,40,8 0 6 ,0.001358
"max_div_15_2.txt",50,15,2,3,4,27.372700,50,8 0 6 ,0.001179
"max_div_15_2.txt",10,15,2,3,5,27.372700,10,0 6 8 ,0.000227
"max_div_15_2.txt",20,15,2,3,5,27.372700,20,8 6 0 ,0.000478
"max_div_15_2.txt",30,15,2,3,5,27.372700,30,8 0 6 ,0.000727
"max_div_15_2.txt",40,15,2,3,5,27.372700,40,6 8 0 ,0.000952
"max_div_15_2.txt",50,15,2,3,5,27.372700,50,8 0 6 ,0.001202
"max_div_15_2.txt",10,15,2,4,2,49.826781,10,8 5 6 0 ,0.000387
"max_div_15_2.txt",20,15,2,4,2,49.826781,20,8 5 0 6 ,0.000694
"max_div_15_2.txt",30,15,2,4,2,49.826781,30,8 5 0 6 ,0.001003
"max_div_15_2.txt",40,15,2,4,2,49.826781,40,8 5 0 6 ,0.001485
"max_div_15_2.txt",50,15,2,4,2,49.826781,50,8 5 0 6 ,0.001749
"max_div_15_2.txt",10,15,2,4,3,49.826781,10,8 6 0 5 ,0.000372
"max_div_15_2.txt",20,15,2,4,3,49.826781,20,0 6 8 5 ,0.000712
"max_div_15_2.txt",30,15,2,4,3,49.826781,30,0 6 8 5 ,0.000993
"max_div_15_2.txt",40,15,2,4,3,49.826781,40,8 5 0 6 ,0.001334
"max_div_15_2.txt",50,15,2,4,3,49.826781,50,0 6 8 5 ,0.001724
"max_div_15_2.txt",10,15,2,4,4,49.826781,10,0 6 8 5 ,0.000324
"max_div_15_2.txt",20,15,2,4,4,49.826781,20,0 6 8 5 ,0.000683
"max_div_15_2.txt",30,15,2,4,4,49.826781,30,0 6 8 5 ,0.001025
"max_div_15_2.txt",40,15,2,4,4,49.826781,40,0 6 8 5 ,0.001395
"max_div_15_2.txt",50,15,2,4,4,49.826781,50,0 6 8 5 ,0.001399
"max_div_15_2.txt",10,15,2,4,5,49.826781,10,8 5 6 0 ,0.000218
"max_div_15_2.txt",20,15,2,4,5,49.826781,20,5 8 6 0 ,0.000446
"max_div_15_2.txt",30,15,2,4,5,49.826781,30,0 6 8 5 ,0.000635
"max_div_15_2.txt",40,15,2,4,5,49.826781,40,5 8 6 0 ,0.000833
"max_div_15_2.txt",50,15,2,4,5,49.826781,50,0 6 8 5 ,0.001043
"max_div_15_2.txt",10,15,2,5,2,79.129530,10,0 5 3 6 8 ,0.000303
"max_div_15_2.txt",20,15,2,5,2,79.129530,20,0 6 8 5 3 ,0.000569
"max_div_15_2.txt",30,15,2,5,2,79.129530,30,8 0 3 6 5 ,0.000827
"max_div_15_2.txt",40,15,2,5,2,79.129530,40,8 0 3 6 5 ,0.001091
"max_div_15_2.txt",50,15,2,5,2,79.129530,50,0 6 3 5 8 ,0.001336
"max_div_15_2.txt",10,15,2,5,3,79.129530,10,3 5 8 0 6 ,0.000297
"max_div_15_2.txt",20,15,2,5,3,79.129530,20,8 5 0 6 3 ,0.000576
"max_div_15_2.txt",30,15,2,5,3,79.129530,30,8 6 0 5 3 ,0.001013
"max_div_15_2.txt",40,15,2,5,3,79.129530,40,8 5 0 6 3 ,0.001909
"max_div_15_2.txt",50,15,2,5,3,79.129530,50,0 6 3 5 8 ,0.002322
"max_div_15_2.txt",10,15,2,5,4,79.129530,10,6 8 3 0 5 ,0.000483
"max_div_15_2.txt",20,15,2,5,4,79.129530,20,6 3 0 8 5 ,0.000952
"max_div_15_2.txt",30,15,2,5,4,79.129530,30,3 5 8 6 0 ,0.001922
"max_div_15_2.txt",40,15,2,5,4,79.129530,40,6 3 8 0 5 ,0.001959
"max_div_15_2.txt",50,15,2,5,4,79.129530,50,8 6 0 5 3 ,0.002560
"max_div_15_2.txt",10,15,2,5,5,79.129530,10,8 6 3 5 0 ,0.000451
"max_div_15_2.txt",20,15,2,5,5,79.129530,20,6 3 0 8 5 ,0.000898
"max_div_15_2.txt",30,15,2,5,5,79.129530,30,6 3 0 8 5 ,0.003080
"max_div_15_2.txt",40,15,2,5,5,79.129530,40,8 6 0 5 3 ,0.001779
